Location,Year,Age,Sex,Cause of death or injury,Measure,Value,Lower bound,Upper bound
Cameroon,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0734294481247,0.0623991563483,0.0857197374881
Central African Republic,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.107005202494,0.0896133141576,0.126580096517
Angola,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.108627313334,0.0917442752898,0.127681527661
Morocco,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.187726721839,0.158062500161,0.220389208122
Libya,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.137010122756,0.116505184537,0.160151744038
Sudan,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.135001584629,0.11460286357,0.157927947809
Tunisia,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.144734562875,0.123738698749,0.168518587805
Algeria,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.171113421284,0.146391402242,0.197480805587
Namibia,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.12453758652,0.104268721525,0.146941000061
Swaziland,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.183193329898,0.152600105112,0.21857817433
Lesotho,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.153063762558,0.127464573063,0.181157187773
South Africa,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.143547865555,0.121736614278,0.165468448869
Botswana,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.150083835302,0.126112483555,0.178930171993
Togo,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0630920701689,0.0539390180495,0.0729169845039
Sierra Leone,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0677161163931,0.0577310916063,0.0788980355491
Senegal,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.079796009563,0.0674702851684,0.0931808697015
Nigeria,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0509177000643,0.0436072014938,0.0591376336177
Niger,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0655679467204,0.0555098070817,0.076452981045
Mauritania,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0680617139471,0.0573340488232,0.0793462331804
Mali,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0643248048247,0.0549038793269,0.0738760466567
Liberia,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0668548877187,0.0566654988005,0.0778291351506
Guinea-Bissau,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0760419408001,0.064579830825,0.0896513437157
The Gambia,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0564988329506,0.0481765949415,0.0662431201567
Guinea,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0545350845663,0.0464504253043,0.0632968713812
Ghana,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.072183380917,0.0610623248132,0.0842024588527
Cape Verde,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.096028395298,0.0833421707175,0.109621109091
Cote d'Ivoire,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0732129150646,0.0619370064082,0.0860469797685
Burkina Faso,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0570443345785,0.0487726483153,0.0662134606349
Benin,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0558169052567,0.0474931244072,0.0653992472841
Dominica,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.181765131335,0.157481250512,0.210393030827
Dominican Republic,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0727940283215,0.0624494206117,0.083950995963
Antigua and Barbuda,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.133992392932,0.115253379699,0.157300441824
Cuba,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0725035492481,0.0633106398845,0.0828853574688
Grenada,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.150521887645,0.130239255674,0.172534283086
Jamaica,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.127689974399,0.1093073923,0.147639481916
Trinidad and Tobago,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.207248986531,0.175052307033,0.242457876805
The Bahamas,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.126661478431,0.10869384477,0.146491677051
Saint Lucia,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.124575445333,0.107129881123,0.14307002751
Saint Vincent and the Grenadines,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.161388577331,0.13799739809,0.186795530185
Barbados,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.158454607304,0.135523956,0.184751007831
Haiti,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.109351372152,0.0924455367772,0.126526256712
Puerto Rico,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.133677817434,0.116166889507,0.151502749651
"Virgin Islands, U.S.",2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.124527755164,0.106350600835,0.14304406482
Panama,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.108945413919,0.0949119687183,0.124095850423
El Salvador,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.116760095139,0.10109849808,0.134876203718
Nicaragua,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0905499944981,0.0780759134618,0.104887950395
Mexico,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.168781480213,0.150134590481,0.189985200724
Honduras,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0949079812208,0.081012645333,0.111276763853
Guatemala,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.174905687057,0.151899343964,0.201893080859
Costa Rica,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0605547029291,0.0527696118644,0.0699890279409
Belize,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.1293311856,0.111331620039,0.149648095261
United States,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.110317922719,0.103702119508,0.117170842277
Greenland,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0595871427464,0.0505337003111,0.0695481393721
Bermuda,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.093635586379,0.080137805318,0.10869354368
Colombia,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0721988793734,0.0632666348277,0.0824398993617
Guyana,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.1640152467,0.139764678232,0.190795015736
Ecuador,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.103623049453,0.0878337618733,0.120770277094
Paraguay,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.11358584278,0.0973977401693,0.13194426752
Suriname,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.121808955179,0.103900396126,0.141057728756
Uruguay,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.046667132069,0.0398018551235,0.0545550460394
Venezuela,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0986560314429,0.0861474283186,0.113253546415
Peru,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0465531271197,0.0398364872105,0.05349669678
Chile,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0546081093705,0.0461657174134,0.0644229498399
Brazil,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0873356916417,0.0757746130457,0.100161754432
Bolivia,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.078012715409,0.0665057850845,0.090712629705
Argentina,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0602478852282,0.0509860115409,0.0697197841073
Turkmenistan,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0986183933883,0.084878052422,0.113804160325
Uzbekistan,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0840633085796,0.0723012317578,0.0967422521807
Tajikistan,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0761179014284,0.0645431541249,0.0881720753605
Kyrgyzstan,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0618667756978,0.0532793166459,0.0715174008795
Kazakhstan,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0755994295857,0.0646607641089,0.0871743048512
Mongolia,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0778238404366,0.0656395983006,0.0911839077933
Taiwan,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.163252229412,0.140688279878,0.191731209132
South Korea,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0868197474208,0.0748369607115,0.0995976384963
North Korea,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0846595455158,0.0729777296319,0.0973201456164
Japan,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0399619366025,0.0349344219347,0.0456982799701
China,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0914521434549,0.0823734807866,0.100329981965
Myanmar,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.151146293107,0.128782681486,0.177095903968
Cambodia,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0850509786051,0.0717224134075,0.0991914791708
Vietnam,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0886345274333,0.0764172002012,0.101510047405
Laos,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.151029603486,0.129179321264,0.174450261067
Malaysia,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.123411945976,0.107563455479,0.141613659695
Thailand,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.112831727038,0.0971856260683,0.130139326149
Brunei,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.130671264233,0.111476572311,0.153173205859
Philippines,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.162350699384,0.14200675332,0.186802440761
Indonesia,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.171965321858,0.148742599452,0.198312897092
Singapore,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0445615780049,0.0380364589015,0.0521948407586
Timor-Leste,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0977195060022,0.083808889839,0.11351624435
Maldives,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0832188495562,0.0711138327204,0.0961836827089
Nepal,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.100766601515,0.0866106317192,0.11665076951
Pakistan,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.163986119388,0.141987568439,0.189373434189
Iran,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.131076022663,0.113511985041,0.151176540064
Sri Lanka,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.157732103442,0.136004245786,0.181840310477
Bhutan,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.156522586069,0.13480071103,0.181616161904
Bangladesh,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.107027253599,0.0939241723844,0.121326603993
Afghanistan,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.189085210976,0.161327436998,0.220026038492
Oman,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.228216643469,0.195882982996,0.266974647657
Kuwait,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.14560389422,0.125302969425,0.169295109003
Palestine,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.125823602255,0.106338202443,0.146190368478
Lebanon,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.153181216239,0.129602188233,0.179977644482
Qatar,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.222924592581,0.186645582278,0.260620202383
Saudi Arabia,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.143604406928,0.123391602977,0.165127563748
Turkey,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.130317023688,0.112646121743,0.148946895688
Yemen,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.133710108917,0.113770328518,0.156683318671
Iraq,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.261722823373,0.224049081026,0.303749219564
Jordan,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.189302516433,0.161805902578,0.221221660621
Syria,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.115523574841,0.0981330529615,0.134330330632
Israel,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0648075692324,0.0565318758506,0.0749522801234
Georgia,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.087069140811,0.073206494958,0.101193432598
Cyprus,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0636837905422,0.0528728896883,0.0755668900222
Bahrain,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.224057830407,0.188770857515,0.26470597945
Azerbaijan,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0968706237335,0.0826574521266,0.112578883134
Armenia,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.102707628477,0.0875458313869,0.121090476585
United Arab Emirates,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.244024043835,0.206308055349,0.28350212033
Moldova,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.060180422631,0.0511465819615,0.0691785459966
Hungary,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0846182581923,0.0724990157445,0.0992963227076
Poland,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0660380216653,0.0568117502445,0.0766788473374
Romania,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0488364773997,0.0418795009531,0.0569610254444
Ukraine,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0557718393414,0.0476393260135,0.064976108916
Belarus,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0554827345735,0.047530000359,0.0647450050148
Czech Republic,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0589284428126,0.0512747306835,0.0681528433424
Russia,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0503269365008,0.043209118174,0.058098012877
Slovakia,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0625374060599,0.0536854882224,0.0728148013061
Bulgaria,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0717170113547,0.0614784764081,0.0820465622213
Norway,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0591241513518,0.0509616500856,0.0680583596587
Sweden,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0697014834744,0.0605897512618,0.079190524963
Lithuania,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.064747753541,0.0548445552918,0.0748065477342
Latvia,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0691615618475,0.0591450393186,0.0811687049981
Ireland,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0446033272783,0.038278972991,0.0511517406218
Iceland,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.038579063263,0.0327061648445,0.0450641146673
United Kingdom,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0401048906337,0.0351205754257,0.0452990774944
Finland,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0582748676393,0.0503263668667,0.0665771155552
Estonia,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0555459657335,0.0476741672333,0.0638743086885
Denmark,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0636930251298,0.0546427542606,0.0730803725136
Macedonia,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0724116932196,0.0610144045282,0.0850611495629
Montenegro,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0744730424039,0.0634075853767,0.0867974406984
Croatia,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0479911731512,0.0405507516045,0.0552628504117
Malta,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0712755227019,0.0607992524945,0.0839317043585
Slovenia,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0478845251459,0.0402865450873,0.0561906248898
Greece,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0390183192094,0.0327702374094,0.0455846574071
Italy,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0516234797601,0.0435355920328,0.0596299770222
Portugal,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.051184000228,0.0428985960905,0.0595958850958
Serbia,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0780661516207,0.0662031436337,0.091225900133
Spain,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.043112739238,0.0364759237977,0.0499263843525
Bosnia and Herzegovina,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0742240545662,0.0620109925919,0.0873023682878
Andorra,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0434734112932,0.0367314483595,0.0509139517027
Albania,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0372764342639,0.0316031478866,0.0435468452699
Netherlands,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0601511754427,0.0518307957716,0.0696642936786
Luxembourg,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0591487234368,0.0501803775561,0.0689346266609
France,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0410236953993,0.034567104288,0.0478358907547
Germany,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0503923286959,0.0431837316228,0.0588600484446
Switzerland,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0431767180017,0.0369160199731,0.0502469493473
Belgium,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.052725123034,0.0448026401237,0.0612114911409
Austria,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0446096006103,0.0373519782138,0.0518967387283
New Zealand,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0866934606155,0.0742279321166,0.0998609119487
Australia,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0599625467858,0.051314133295,0.0693855772519
Papua New Guinea,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.243605593234,0.206837187878,0.280239320004
Vanuatu,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.242672305375,0.204759034014,0.282098278753
Solomon Islands,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.28747223637,0.244402544058,0.336298244825
Fiji,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.432702545318,0.380309610369,0.492774880305
Guam,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.237512211224,0.205756186564,0.273091943594
Northern Mariana Islands,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.236674602144,0.205991311231,0.272124553943
Marshall Islands,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.542550978274,0.474759642815,0.612106839996
Federated States of Micronesia,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.286284574897,0.246544472117,0.328054469672
Kiribati,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.344066389535,0.297734654746,0.395581098563
Samoa,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.245475177965,0.210900644842,0.28298426645
Tonga,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.248955676088,0.216157824685,0.281601880754
American Samoa,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.339497235156,0.292087702193,0.389234323261
Canada,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0660910679424,0.0569962527919,0.0761637612584
Egypt,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.185118868596,0.158436619453,0.216457852577
India,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.111315624093,0.0975449555802,0.127020156191
England,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0359436061021,0.03104841015,0.0409571990561
Northern Ireland,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0482210828953,0.042176181482,0.0546699555987
Scotland,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0645628799331,0.0583291388559,0.0717398378421
Wales,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0638705182491,0.0572600678482,0.0707358907747
Stockholm,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0508351126268,0.0432303736611,0.0591377949409
Sweden except Stockholm,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0754843598064,0.0656777623495,0.0859275240188
North East England,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0346086770649,0.0289641541981,0.0410136018071
North West England,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0444007298007,0.0382640373812,0.0519395181291
Yorkshire and the Humber,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0408497400991,0.034041550919,0.0483387364874
East Midlands,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.015412609421,0.0139389364335,0.0170427446576
West Midlands,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.00778941810783,0.0065840774701,0.00917441934318
East of England,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0421347232673,0.0358884293158,0.0482180201058
Greater London,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0428282627812,0.0362798202945,0.0491954649187
South East England,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0409417070501,0.0348896858209,0.0475002424389
South West England,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0418736246325,0.0360434768285,0.0480821662315

"Global Burden of Disease Study 2015. Global Burden of Disease Study 2015 (GBD 2015) Results. Seattle, United States: Institute for Health Metrics and Evaluation (IHME), 2016."
"Available from from https://http://vizhub.healthdata.org/gbd-compare/"
"For terms and conditions of use, please visit http://www.healthdata.org/about/terms-and-conditions"
