Location,Year,Age,Sex,Cause of death or injury,Measure,Value,Lower bound,Upper bound
Vietnam,2015,20-24 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0141731461,0.0112116555,0.0174501944
Laos,2015,20-24 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0295678767,0.0237812122,0.0360270485
Malaysia,2015,20-24 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0221093617,0.0179480702,0.0265119656
Thailand,2015,20-24 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0198636936,0.015693673,0.0244557966
Brunei,2015,20-24 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0184891302,0.015282345,0.0218024333
Philippines,2015,20-24 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0326997163,0.0272371802,0.0391784234
Indonesia,2015,20-24 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0295741422,0.0235062756,0.0358839294
Singapore,2015,20-24 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0047443633,0.0038272556,0.0057034467
Timor-Leste,2015,20-24 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0180617558,0.0146425212,0.0223560934
Maldives,2015,20-24 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0145695783,0.0118234259,0.0176388934
Nepal,2015,20-24 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0146995329,0.0118279101,0.0181159232
Pakistan,2015,20-24 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0235067742,0.0189432755,0.0284028935
Iran,2015,20-24 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0157766832,0.0129497525,0.0188776553
Sri Lanka,2015,20-24 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0275354821,0.0224901147,0.0334270452
Bhutan,2015,20-24 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0238864526,0.0193330066,0.0289206104
Bangladesh,2015,20-24 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0155159935,0.0125558654,0.0188901625
Afghanistan,2015,20-24 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0229777733,0.018444809,0.0282627452
Oman,2015,20-24 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0184242198,0.0149830367,0.0224040817
Kuwait,2015,20-24 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0158035558,0.0127441678,0.0191957673
Palestine,2015,20-24 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0137140151,0.011252095,0.0166482007
Lebanon,2015,20-24 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.019638765,0.0156974097,0.0241491975
Qatar,2015,20-24 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0163060526,0.0129072149,0.0201376005
Saudi Arabia,2015,20-24 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0156168947,0.0127255956,0.0189002006
Turkey,2015,20-24 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0154836517,0.0125251307,0.0186860152
Yemen,2015,20-24 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0164413527,0.013247907,0.0199076468
Iraq,2015,20-24 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0348087077,0.0281089269,0.0425534568
Jordan,2015,20-24 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0174480314,0.014077812,0.0213995791
Syria,2015,20-24 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0143669286,0.0115704693,0.0174461679
Israel,2015,20-24 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0076786664,0.0062729701,0.0090123661
Georgia,2015,20-24 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0101565352,0.008341659,0.0119801536
Cyprus,2015,20-24 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0109372814,0.0091135375,0.0127719174
Bahrain,2015,20-24 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0249231926,0.0196953532,0.0302585338
Azerbaijan,2015,20-24 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0129907409,0.0106988901,0.0153968495
Armenia,2015,20-24 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.014768369,0.0120310818,0.0175987221
United Arab Emirates,2015,20-24 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0186695609,0.0147591614,0.0234431209
Moldova,2015,20-24 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0066383867,0.0055509674,0.0078872178
Hungary,2015,20-24 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0062318609,0.0050748372,0.0075200448
Poland,2015,20-24 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0046690301,0.0037502082,0.0056541725
Romania,2015,20-24 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0047903564,0.0039615812,0.0056742976
Ukraine,2015,20-24 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0074205005,0.0061818156,0.0089617508
Belarus,2015,20-24 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0061346347,0.0050097127,0.0074538314
Czech Republic,2015,20-24 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0048365149,0.0039462593,0.0058368697
Russia,2015,20-24 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0066594042,0.0055354677,0.0079317549
Slovakia,2015,20-24 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.004910058,0.0040260432,0.0058272542
Bulgaria,2015,20-24 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0076015307,0.0062620303,0.0089691918
Norway,2015,20-24 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.011172835,0.0093737826,0.0129964458
Sweden,2015,20-24 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0136495759,0.0115700458,0.0158417501
Lithuania,2015,20-24 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0077287282,0.006382187,0.0094064566
Latvia,2015,20-24 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0087953389,0.0072673794,0.0105215466
Ireland,2015,20-24 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0078917455,0.0066506056,0.0091945896
Iceland,2015,20-24 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0052362977,0.0043030691,0.0062223724
United Kingdom,2015,20-24 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0078125459,0.0065888483,0.0090571801
Finland,2015,20-24 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0113384818,0.0093986046,0.0134018289
Estonia,2015,20-24 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0063935248,0.005337786,0.0077103769
Denmark,2015,20-24 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0093830762,0.0077326115,0.0110728008
Macedonia,2015,20-24 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0073018725,0.0060423211,0.0086513695
Montenegro,2015,20-24 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0083539467,0.0068073863,0.0099797061
Croatia,2015,20-24 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0034200713,0.0028100406,0.0041259386
Malta,2015,20-24 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0143110226,0.0121622301,0.0165339515
Slovenia,2015,20-24 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0032273887,0.0025902386,0.0038720511
Greece,2015,20-24 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0050735827,0.0040998121,0.0061501635
Italy,2015,20-24 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0073726499,0.00615388,0.0086102633
Portugal,2015,20-24 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0080782008,0.0067167636,0.0094538664
Serbia,2015,20-24 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0064956476,0.0052364836,0.007741334
Spain,2015,20-24 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0069555818,0.0057444085,0.0081232661
Bosnia and Herzegovina,2015,20-24 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0086202624,0.0069618645,0.010441692
Andorra,2015,20-24 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.006726696,0.0055117954,0.0080550057
Albania,2015,20-24 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0046321631,0.0038496906,0.0055052734
Netherlands,2015,20-24 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0084083322,0.0069829952,0.0099388449
Luxembourg,2015,20-24 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0082331831,0.0067494429,0.0098011694
France,2015,20-24 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0054854476,0.0044990199,0.0064562025
Germany,2015,20-24 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0068609875,0.0055657288,0.0081244733
Switzerland,2015,20-24 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0055125025,0.0044277666,0.0065395289
Belgium,2015,20-24 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0075153403,0.0061918672,0.0089127308
Austria,2015,20-24 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0065499776,0.0054334902,0.0077287701
New Zealand,2015,20-24 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0112173024,0.009122519,0.013518731
Australia,2015,20-24 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0084383112,0.0069882094,0.0098713533
Papua New Guinea,2015,20-24 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0434616275,0.0343876815,0.0537725033
Vanuatu,2015,20-24 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0444172185,0.0348320125,0.0552873178
Solomon Islands,2015,20-24 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0510854726,0.040443226,0.0643859966
Fiji,2015,20-24 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0771381943,0.0617812132,0.0934933964
Guam,2015,20-24 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0446221023,0.0362733625,0.0538025296
Northern Mariana Islands,2015,20-24 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0393799122,0.0319326182,0.0480332133
Marshall Islands,2015,20-24 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.1049495564,0.0837930028,0.1311124514
Federated States of Micronesia,2015,20-24 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0507835605,0.04045044,0.0633119606
Kiribati,2015,20-24 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.064765575,0.051181222,0.0794666238
Samoa,2015,20-24 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0444462597,0.0353488587,0.0547082011
Tonga,2015,20-24 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0443377373,0.035571012,0.053485289
American Samoa,2015,20-24 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0655656761,0.0521706724,0.0805903508
Canada,2015,20-24 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0079350965,0.0067525335,0.0091785807
Egypt,2015,20-24 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0159470026,0.0127511465,0.0198360803
India,2015,20-24 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0160044313,0.0130293775,0.0195978996
,,,,,,,,
"Global Burden of Disease Study 2015. Global Burden of Disease Study 2015 (GBD 2015) Results. Seattle, United States: Institute for Health Metrics and Evaluation (IHME), 2016.",,,,,,,,
Available from from https://http://vizhub.healthdata.org/gbd-compare/,,,,,,,,
"For terms and conditions of use, please visit http://www.healthdata.org/about/terms-and-conditions",,,,,,,,
